period,grade,name,date,volbuy,buy_price,mkt_price,amtbuy,amtmkt,amtpol,pctpol
1,C1,MCS,2016-09-20,"78,000",15.10,6.8,"1,177,800.00","530,400.00","-647,400.00",-54.97
1,C1,PTTGC,2021-03-17,"6,000",64.75,35.25,"388,500.00","211,500.00","-177,000.00",-45.56
1,C3,SINGER,2023-01-19,"6,000",24.80,13.9,"148,800.00","83,400.00","-65,400.00",-43.95
1,C3,SYNEX,2022-01-07,"15,000",28.70,13.0,"430,500.00","195,000.00","-235,500.00",-54.70
2,A3,AIMIRT,2023-08-17,"10,000",11.00,10.6,"110,000.00","106,000.00","-4,000.00",-3.64
2,B4,ASP,2022-03-07,"30,000",3.80,2.8,"114,000.00","84,000.00","-30,000.00",-26.32
2,A2,CPNREIT,2022-08-16,"60,000",17.55,10.7,"1,053,000.00","642,000.00","-411,000.00",-39.03
2,C3,DIF,2020-08-01,"30,000",14.70,9.25,"441,000.00","277,500.00","-163,500.00",-37.07
2,B3,GVREIT,2022-08-24,"60,000",7.90,5.95,"474,000.00","357,000.00","-117,000.00",-24.68
2,C3,JASIF,2018-05-17,"130,000",10.00,6.85,"1,300,000.00","890,500.00","-409,500.00",-31.50
2,C3,RCL,2021-11-08,"27,000",38.75,22.3,"1,046,250.00","602,100.00","-444,150.00",-42.45
2,C3,STA,2021-06-15,"7,500",32.00,16.8,"240,000.00","126,000.00","-114,000.00",-47.50
2,A4,TFFIF,2023-07-06,"20,000",7.50,7.2,"150,000.00","144,000.00","-6,000.00",-4.00
2,C4,WHAIR,2021-10-11,"50,000",8.70,6.55,"435,000.00","327,500.00","-107,500.00",-24.71
2,A4,WHART,2022-01-05,"20,000",12.30,10.1,"246,000.00","202,000.00","-44,000.00",-17.89
3,A3,AH,2023-06-08,"1,200",37.00,33.75,"44,400.00","40,500.00","-3,900.00",-8.78
3,A4,ASK,2023-02-16,"4,500",31.00,23.1,"139,500.00","103,950.00","-35,550.00",-25.48
3,A1,AWC,2023-06-15,"9,000",4.96,4.0,"44,640.00","36,000.00","-8,640.00",-19.35
3,A4,JMT,2023-01-26,"4,200",55.50,46.5,"233,100.00","195,300.00","-37,800.00",-16.22
3,B3,NER,2021-09-01,"27,000",7.45,4.7,"201,150.00","126,900.00","-74,250.00",-36.91
3,B4,ORI,2022-04-07,"45,000",11.00,10.0,"495,000.00","450,000.00","-45,000.00",-9.09
3,A2,TOA,2023-09-06,"1,000",26.00,23.7,"26,000.00","23,700.00","-2,300.00",-8.85
4,C2,BCH,2021-09-07,"15,000",21.46,19.7,"321,900.00","295,500.00","-26,400.00",-8.20
4,C3,IVL,2022-08-29,"7,200",40.00,27.5,"288,000.00","198,000.00","-90,000.00",-31.25
4,C3,JMART,2023-01-20,"6,800",33.00,23.2,"224,400.00","157,760.00","-66,640.00",-29.70
4,B3,KCE,2021-10-07,"10,000",77.25,53.0,"772,500.00","530,000.00","-242,500.00",-31.39
4,C1,PTG,2023-07-12,"3,600",11.40,9.55,"41,040.00","34,380.00","-6,660.00",-16.23
4,C1,SCC,2021-09-20,600,405.00,305.0,"243,000.00","183,000.00","-60,000.00",-24.69
4,C4,SENA,2022-03-29,"105,000",4.48,2.78,"470,400.00","291,900.00","-178,500.00",-37.95
4,C1,TMT,2021-08-16,"36,000",10.20,6.85,"367,200.00","246,600.00","-120,600.00",-32.84
