name,price_d,price_w,percent,perform
GVREIT,7.0,7.35,-4.761904761904757,Worse
ASK,25.25,25.75,-1.9417475728155338,Worse
JASIF,6.75,6.85,-1.459854014598535,Worse
SCC,312.0,316.0,-1.2658227848101267,Worse
BCH,19.0,19.2,-1.041666666666663,Worse
PTG,10.4,10.5,-0.952380952380949,Worse
ORI,10.5,10.6,-0.943396226415091,Worse
AIMIRT,10.8,10.9,-0.9174311926605472,Worse
ASP,2.94,2.96,-0.6756756756756763,Worse
TFFIF,7.5,7.5,0.0,No Change
RCL,21.5,21.4,0.4672897196261749,Better
SENA,2.86,2.84,0.7042253521126767,Better
IVL,29.0,28.75,0.8695652173913043,Better
PTTGC,37.0,36.5,1.36986301369863,Better
WHAIR,7.0,6.9,1.4492753623188355,Better
KCE,51.5,50.75,1.477832512315271,Better
JMT,46.25,45.5,1.6483516483516485,Better
CPNREIT,11.0,10.8,1.8518518518518452,Better
WHART,10.6,10.4,1.9230769230769162,Better
TMT,7.1,6.95,2.158273381294956,Better
DIF,9.35,9.15,2.185792349726768,Better
AWC,4.26,4.12,3.3980582524271767,Better
AH,36.0,34.25,5.109489051094891,Better
SYNEX,13.6,12.8,6.249999999999992,Better
NER,4.92,4.62,6.49350649350649,Better
JMART,23.2,21.2,9.433962264150944,Better
STA,15.3,13.9,10.071942446043169,Better
MCS,6.8,6.05,12.396694214876034,Better
SINGER,14.1,10.3,36.89320388349513,Better
